nombre,precio,ventas_q,clases_q,nivel,duracion,tema,plataforma,anio,mes,ventas_usd,idioma
How to Create Your Personal Budget,20,3870,10,All Levels,1,Business Finance,udemy,2016,Marzo,77400,English
The Complete Value Investing Course: A Proven Approach,200,2146,49,All Levels,4,Business Finance,udemy,2015,Junio,429200,English
FOREX Trading with Price Action,195,484,19,Introductory,1,Business Finance,udemy,2017,Marzo,94380,English
Emini ES Futures - Advanced Non Directional Options Trading,200,1057,14,All Levels,1,Business Finance,udemy,2017,Enero,211400,English
Forex Trading - Advanced Fundamental Analysis,20,1754,49,Intermediate,2,Business Finance,udemy,2016,Junio,35080,English
How To Invest With Tiny Capital In Stocks ?,20,1239,6,Introductory,0,Business Finance,udemy,2017,Mayo,24780,English
Learn How To Successfully Trade Stocks: In 5 Simple Steps,95,2493,108,All Levels,9,Business Finance,udemy,2015,Enero,236835,English
Forex MetaTrader 4: Master MT4 Like A Pro Forex Trader,150,2602,57,Introductory,5,Business Finance,udemy,2015,Octubre,390300,Deutsch
Intermediate Options trading concepts for Stocks and Options,40,2000,9,All Levels,1,Business Finance,udemy,2015,Abril,80000,English
Options Trading 101: The Basics,0,1514,11,Introductory,0,Business Finance,udemy,2017,Marzo,0,English
Practical Accounts APP Overview,20,1361,14,Intermediate,3,Business Finance,udemy,2016,Octubre,27220,English
Bitcoin Profits for Beginners,100,61,30,Introductory,1,Business Finance,udemy,2017,Junio,6100,English
Trend Traders Club: How To Find And Trade Fast Moving Trends,75,1513,60,All Levels,5,Business Finance,udemy,2015,Agosto,113475,English
Financial Statements Basics,20,1374,9,Introductory,2,Business Finance,udemy,2016,Enero,27480,Catalán
High performance Stock Trading using key Options techniques,40,2103,6,All Levels,1,Business Finance,udemy,2015,Abril,84120,English
Introduction to Financial Statement Analysis,20,1480,25,Introductory,1,Business Finance,udemy,2016,Marzo,29600,English
Basics of Economics (College Level),25,2516,20,All Levels,1,Business Finance,udemy,2015,Enero,62900,English
Stock Market Investing for Beginners,0,50855,15,Introductory,1,Business Finance,udemy,2013,Diciembre,0,no
Accounting for Beginners : Learn Basics in under 1 Hour,50,1971,20,Introductory,1,Business Finance,udemy,2015,Diciembre,98550,English
Straddle Options Trading - Profit in Any Market Direction,200,837,19,All Levels,1,Business Finance,udemy,2016,Octubre,167400,English
Fundamentals of Forex Trading,0,17160,23,All Levels,1,Business Finance,udemy,2014,Agosto,0,English
"Binary Options: Trading Strategies, 90% Accuracy and Signals",195,1723,24,Introductory,1,Business Finance,udemy,2015,Diciembre,335985,English
Website Investing 101 - Buying & Selling Online Businesses,0,6811,51,All Levels,2,Business Finance,udemy,2016,Agosto,0,Deutsch
