nombre,ventas_q,formato,institucion,nivel,tema,idioma,precio,duracion,plataforma,ventas_usd
Business Foundations,55154,Self-paced on your time,University of British Columbia,Introductory,Business & Management,English,150,18,edx,8273100
The Chemistry of Life,78704,Self-paced on your time,Kyoto University,Introductory,Biology & Life Sciences,English,49,26,edx,3856496
Nutrition and Health: Micronutrients and Malnutrition,78266,Self-paced on your time,Wageningen University & Research,Intermediate,Biology & Life Sciences,English,99,42,edx,7748334
Digital Design,12339,Self-paced on your time,The Hong Kong University of Science and Technology,Introductory,Design,English,50,25,edx,616950
Machine Learning for Data Science and Analytics,140419,Self-paced on your time,Columbia University,Introductory,Computer Science,English,99,35,edx,13901481
The Science of Everyday Thinking,318399,Self-paced on your time,The University of Queensland,Introductory,Business & Management,English,99,24,edx,31521501
Gestion de projets de développement,41663,Self-paced on your time,Inter-American Development Bank,Intermediate,Business & Management,Français,25,30,edx,1041575
Product Management Fundamentals,11913,Self-paced on your time,"The University of Maryland, College Park-University System of Maryland",Introductory,Business & Management,English,199,8,edx,2370687
International Human Rights Law,74424,Self-paced on your time,Université catholique de Louvain,Advanced,Law,English,150,72,edx,11163600
The Best Start in Life: Early Childhood Development for Sustainable Development,23139,Self-paced on your time,SDG Academy,Intermediate,Education & Teacher Training,English,49,16,edx,1133811
Data Science and Machine Learning Capstone Project,21809,Self-paced on your time,IBM,Intermediate,Data Analysis & Statistics,English,99,18,edx,2159091
"Data Science for Construction, Architecture and Engineering",11113,Self-paced on your time,The National University of Singapore,Introductory,Data Analysis & Statistics,English,199,28,edx,2211487
"Nutrition, Heart Disease and Diabetes",24986,Self-paced on your time,Wageningen University & Research,Intermediate,Food & Nutrition,English,99,30,edx,2473614
Project Management for Development,62099,Self-paced on your time,Inter-American Development Bank,Intermediate,Business & Management,English,49,30,edx,3042851
Introduction to Cloud Infrastructure Technologies,86923,Self-paced on your time,The Linux Foundation,Introductory,Computer Science,English,169,42,edx,14689987
"Circular Fashion: Design, Science and Value in a Sustainable Clothing Industry",13566,Self-paced on your time,Wageningen University & Research,Introductory,Art & Culture,English,65,20,edx,881790
Machine Learning,150855,Instructor-led on a course schedule,Columbia University,Advanced,Computer Science,English,249,96,edx,37562895
Introducción a la gestión de proyectos,98517,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Business & Management,Español,50,20,edx,4925850
Free Cash Flow Analysis,36085,Self-paced on your time,Columbia University,Introductory,Business & Management,English,225,15,edx,8119125
Lean Production,55926,Self-paced on your time,Technische Universität München,Introductory,Business & Management,English,99,18,edx,5536674
Introduction to Algebra,131197,Self-paced on your time,SchoolYourself,Introductory,Math,English,139,16,edx,18236383
"LaTeX for Students, Engineers, and Scientists",11823,Self-paced on your time,IITBombay,Introductory,Engineering,English,139,21,edx,1643397
Leading With Effective Communication (Inclusive Leadership Training),107770,Self-paced on your time,Catalyst,Introductory,Communication,English,50,4,edx,5388500
Anatomy: Musculoskeletal and Integumentary Systems,51969,Self-paced on your time,The University of Michigan,Introductory,Biology & Life Sciences,English,49,8,edx,2546481
"Inglés empresarial: ventas, gestión y liderazgo",10897,Instructor-led on a course schedule,Universidades Anáhuac,Introductory,Business & Management,English,49,20,edx,533953
Business Strategy from Wharton: Competitive Advantage,26675,Self-paced on your time,The Wharton School of the University of Pennsylvania,Intermediate,Business & Management,English,199,18,edx,5308325
Inteligencia emocional para el liderazgo efectivo y colaboración,14726,Self-paced on your time,Universidades Anáhuac,Introductory,Social Sciences,Español,49,16,edx,721574
Introducción al desarrollo de aplicaciones web,27757,Self-paced on your time,Universidad Autónoma de Madrid,Introductory,Computer Science,Español,49,20,edx,1360093
"Six Sigma: Analyze, Improve, Control",56016,Self-paced on your time,Technische Universität München,Introductory,Business & Management,English,99,24,edx,5545584
Introducción a la inteligencia emocional,18830,Self-paced on your time,Universidades Anáhuac,Introductory,Social Sciences,Español,49,12,edx,922670
AP® Microeconomics,53664,Self-paced on your time,Massachusetts Institute of Technology,Introductory,Economics & Finance,English,49,36,edx,2629536
Engineering Calculus and Differential Equations,21535,Self-paced on your time,University of Hong Kong,Introductory,Math,English,50,18,edx,1076750
Linear Algebra - Foundations to Frontiers,88570,Self-paced on your time,The University of Texas at Austin,Intermediate,Computer Science,English,49,90,edx,4339930
Habilidades de negociación y comunicación efectiva,19614,Self-paced on your time,Tecnológico de Monterrey,Introductory,Business & Management,Español,149,20,edx,2922486
Effective Communication for Today's Leader,8862,Self-paced on your time,Tecnológico de Monterrey,Intermediate,Business & Management,English,149,20,edx,1320438
Electric Cars: Technology,40972,Self-paced on your time,Delft University of Technology,Intermediate,Engineering,English,50,16,edx,2048600
Site Planning Online,12948,Self-paced on your time,Massachusetts Institute of Technology,Intermediate,Design,English,99,40,edx,1281852
Macroeconometric Forecasting,69358,Self-paced on your time,The International Monetary Fund,Intermediate,Economics & Finance,English,25,72,edx,1733950
